Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
20,53,395,786,1073,1432,1949,3156,4264,low
23,66,350,794,1004,1378,1800,3267,4470,low
33,92,376,775,1005,1352,1927,3103,4257,low
46,55,351,757,1077,1443,1851,3190,4481,low
16,73,382,765,1024,1461,1924,3164,4163,low
8,87,363,796,1006,1337,1945,3271,4160,low
25,92,397,756,1035,1382,1858,3207,4234,low
15,58,380,764,1021,1453,1910,3178,4136,low
10,92,361,766,1067,1442,1861,3257,4416,low
33,88,351,795,1030,1456,1967,3181,4409,low
16,60,384,764,1070,1332,1942,3111,4321,low
44,60,378,764,1012,1406,1909,3230,4124,low
7,61,387,766,1039,1390,1970,3262,4224,low
10,83,487,880,1118,1497,1949,3526,4444,mid
47,199,357,855,1118,1453,2050,3522,4440,mid
36,185,523,852,1117,1462,2013,3210,4573,mid
42,195,538,793,1093,1576,2164,3751,4558,mid
42,110,530,782,1100,1462,2248,3467,4661,mid
37,173,514,870,1094,1585,1931,3413,4534,mid
14,100,373,849,1117,1512,1966,3397,4479,mid
34,100,348,886,1094,1468,2073,3598,4576,mid
38,132,546,877,1085,1491,2160,3517,4454,mid
26,123,390,825,1082,1546,2288,3458,4636,mid
26,161,413,790,1090,1514,2241,3282,4652,mid
30,109,335,797,1082,1555,2061,3263,4486,mid
30,172,398,895,1105,1597,2191,3765,4573,mid
9,156,409,828,1117,1499,2301,3509,4583,mid
43,92,340,805,1107,1460,2138,3498,4564,mid
33,102,527,801,1099,1513,2289,3640,4524,mid
13,122,488,820,1087,1536,1956,3344,4431,mid
31,146,538,859,1100,1557,2388,3290,4585,mid
31,113,349,881,1122,1504,2294,3747,4532,mid
19,108,358,818,1117,1525,2105,3245,4671,mid
31,101,478,894,1115,1516,1933,3435,4658,mid
12,93,357,829,1093,1516,2018,3286,4410,mid
36,150,477,896,1128,1499,2097,3621,4532,mid
20,121,360,843,1102,1488,2040,3479,4558,mid
14,96,387,843,1117,1487,2062,3445,4496,mid
32,133,506,813,1101,1597,2302,3461,4524,mid
22,139,521,850,1113,1494,1946,3436,4418,mid
13,174,528,873,1086,1473,2022,3524,4483,mid
27,84,464,831,1116,1486,1978,3274,4565,mid
31,167,541,877,1104,1490,2095,3208,4451,mid
9,185,659,876,1106,1558,2615,3949,4961,high
31,211,504,924,1134,1615,2589,3910,4965,high
28,238,608,895,1113,1607,2317,3959,4871,high
20,252,661,899,1147,1636,2291,3839,4852,high
32,268,505,914,1163,1576,2848,3749,4697,high
42,273,533,863,1127,1618,2465,3846,4754,high
32,254,618,871,1170,1565,2887,3695,4682,high
37,187,540,873,1131,1624,2718,3865,4620,high
41,195,660,893,1158,1556,2679,3765,4676,high
36,189,651,880,1102,1561,2696,3699,4688,high
21,251,525,908,1169,1619,2804,3733,4896,high
15,238,484,876,1113,1611,2556,3896,4823,high
23,194,552,906,1102,1651,2570,3685,4663,high
8,255,583,888,1112,1650,2725,3662,4653,high
40,192,630,855,1132,1623,2207,3645,4941,high
43,229,590,914,1143,1671,2584,3596,4739,high
32,262,666,905,1129,1631,2309,3841,4702,high
45,188,519,892,1172,1597,2302,3745,4757,high
10,244,572,905,1106,1550,2970,3598,4963,high
17,208,545,855,1106,1568,2833,3667,4796,high
22,268,647,906,1169,1610,2342,3526,4966,high
26,244,484,890,1140,1653,2804,3514,4905,high
31,209,653,876,1124,1650,2407,3691,4697,high
18,219,582,912,1111,1586,2238,3689,4803,high
44,263,661,866,1153,1568,2565,3775,4673,high
35,182,581,896,1101,1583,2272,3742,4945,high
32,198,559,857,1166,1610,2649,3743,4752,high
10,259,649,861,1112,1621,2359,3612,4857,high
47,258,607,871,1174,1596,2678,3650,4624,high
32,247,524,924,1130,1558,2762,3730,4726,high
10,62,350,774,1070,1325,1850,3115,4477,low
16,82,368,783,1063,1489,1857,3299,4431,low
12,97,351,772,1038,1477,1959,3295,4481,low
43,86,399,757,1029,1390,1889,3108,4254,low
38,93,387,782,1065,1357,1806,3169,4222,low
39,89,373,797,1064,1452,1845,3163,4450,low
45,51,371,778,1081,1486,1914,3262,4187,low
33,66,394,786,1076,1357,1839,3153,4208,low
21,54,353,784,1089,1314,1858,3181,4309,low
7,66,358,769,1029,1350,1820,3258,4202,low
40,50,375,776,1000,1375,1912,3105,4198,low
22,70,353,772,1096,1447,1978,3235,4164,low
41,60,383,797,1002,1311,1805,3120,4100,low
43,64,370,776,1090,1419,1974,3218,4385,low
30,86,391,763,1015,1454,1893,3158,4277,low
19,98,356,750,1093,1442,1986,3187,4435,low
13,54,389,783,1001,1380,1870,3142,4428,low
45,68,362,775,1040,1449,1961,3123,4230,low
16,97,365,776,1040,1397,1877,3203,4450,low
46,64,375,753,1029,1446,1852,3194,4425,low
42,83,391,799,1003,1366,1926,3118,4133,low
25,72,391,771,1018,1430,1923,3195,4213,low
13,72,370,777,1016,1420,1871,3143,4313,low
26,77,382,799,1022,1490,1839,3111,4127,low
25,69,353,770,1017,1318,1810,3203,4300,low
8,73,361,758,1087,1335,1923,3127,4196,low
30,58,361,770,1001,1319,1972,3295,4104,low
22,93,368,775,1001,1486,1925,3232,4258,low
35,83,367,794,1007,1338,1826,3108,4264,low
39,95,382,774,1037,1348,1814,3290,4318,low
21,180,483,808,1103,1527,1908,3703,4587,mid
43,153,550,825,1097,1457,1963,3682,4620,mid
20,106,346,819,1092,1563,2371,3769,4635,mid
30,121,393,829,1129,1506,2399,3425,4548,mid
22,97,481,807,1084,1514,2291,3211,4459,mid
32,137,462,891,1123,1452,1901,3225,4665,mid
29,145,358,822,1106,1475,2188,3765,4637,mid
39,186,414,784,1128,1538,1906,3803,4400,mid
38,160,346,864,1108,1514,1989,3392,4634,mid
8,199,442,786,1091,1550,2326,3520,4549,mid
26,175,539,893,1098,1576,2361,3282,4485,mid
11,80,364,800,1121,1476,2271,3647,4485,mid
32,90,541,885,1128,1549,2328,3338,4579,mid
30,193,538,836,1086,1577,2118,3542,4506,mid
22,111,357,821,1080,1481,2392,3332,4663,mid
20,177,393,831,1087,1557,1934,3795,4601,mid
31,137,373,889,1110,1543,2265,3480,4550,mid
25,154,364,852,1120,1473,2154,3521,4437,mid
8,151,475,858,1125,1465,2100,3359,4471,mid
42,114,431,887,1114,1570,1914,3754,4691,mid
23,176,338,786,1096,1539,2171,3361,4426,mid
7,103,460,877,1128,1587,2068,3736,4495,mid
14,83,378,790,1118,1520,2244,3531,4569,mid
16,104,431,872,1115,1490,1936,3259,4510,mid
30,101,356,848,1127,1593,2149,3291,4490,mid
28,148,441,888,1106,1466,2032,3428,4491,mid
34,150,345,846,1120,1500,2344,3696,4649,mid
45,119,502,891,1112,1511,1977,3436,4537,mid
38,94,477,845,1083,1482,1978,3504,4583,mid
30,166,355,806,1083,1582,2012,3296,4580,mid
36,238,522,921,1105,1614,2876,3746,4661,high
8,259,658,907,1160,1660,2464,3942,4895,high
45,258,573,910,1121,1579,2706,3511,4639,high
37,253,580,874,1100,1604,2866,3694,4647,high
27,248,546,878,1150,1674,2419,3892,4612,high
42,220,548,850,1156,1662,2866,3677,4671,high
25,236,619,904,1168,1605,2678,3606,4828,high
34,231,665,858,1165,1603,2495,3945,4618,high
37,185,609,894,1101,1639,2626,3650,4842,high
32,226,549,860,1130,1641,2491,3919,4755,high
34,186,481,887,1101,1637,2586,3621,4886,high
18,193,508,865,1164,1608,2968,3534,4793,high
22,204,510,920,1130,1637,2345,3871,4716,high
43,211,557,924,1106,1618,2537,3961,4937,high
34,226,510,924,1161,1572,2270,3508,4651,high
18,241,496,867,1100,1562,2387,3610,4858,high
20,209,511,862,1141,1621,2663,3938,4964,high
24,270,671,919,1116,1597,2699,3786,4773,high
18,271,513,911,1102,1624,2463,3685,4645,high
36,274,637,908,1173,1611,2824,3838,4895,high
31,254,499,879,1109,1667,2327,3517,4811,high
25,231,623,871,1127,1616,2383,3688,4803,high
45,201,491,908,1103,1637,2643,3669,4764,high
35,270,634,904,1150,1584,2540,3833,4644,high
30,195,499,865,1152,1606,2849,3546,4771,high
44,243,506,869,1138,1649,2224,3817,4710,high
23,221,527,868,1119,1608,2962,3785,4883,high
13,253,574,923,1158,1587,2571,3566,4932,high
23,207,611,912,1102,1672,2404,3937,4660,high
29,251,631,920,1153,1662,2281,3581,4666,high
39,53,374,788,1010,1365,1921,3167,4468,low
8,61,353,795,1034,1478,1976,3130,4459,low
34,72,393,761,1001,1485,1838,3241,4339,low
35,65,381,784,1087,1439,1804,3262,4259,low
8,77,386,761,1049,1474,1974,3143,4255,low
40,97,351,786,1026,1383,1923,3272,4180,low
29,74,374,786,1033,1383,1810,3272,4373,low
29,97,385,760,1029,1462,1903,3222,4325,low
44,94,367,798,1065,1333,1859,3181,4303,low
15,65,383,800,1024,1447,1875,3224,4171,low
29,98,386,788,1090,1408,1961,3108,4168,low
22,92,379,796,1086,1460,1828,3117,4119,low
42,62,400,766,1007,1318,1952,3232,4489,low
47,52,354,755,1001,1487,1803,3177,4232,low
17,69,352,759,1073,1447,1966,3221,4490,low
26,53,373,790,1080,1352,1831,3178,4275,low
31,98,383,779,1060,1413,1895,3221,4161,low
41,71,389,799,1071,1425,1941,3143,4359,low
16,88,383,757,1002,1438,1991,3108,4428,low
7,52,381,788,1001,1303,1942,3300,4224,low
24,100,379,751,1003,1472,1964,3291,4373,low
13,88,351,793,1048,1432,1964,3112,4489,low
31,98,387,783,1099,1330,1958,3187,4483,low
10,82,350,786,1000,1349,1841,3128,4367,low
43,100,363,797,1069,1370,1832,3263,4146,low
7,84,395,777,1080,1423,1960,3218,4281,low
8,59,383,773,1089,1407,1895,3219,4499,low
8,56,351,754,1035,1386,1979,3142,4489,low
34,54,363,765,1083,1393,1853,3155,4436,low
38,78,400,792,1013,1339,1850,3296,4212,low
46,90,387,890,1110,1480,2293,3493,4658,mid
33,126,330,890,1106,1516,1971,3510,4482,mid
39,137,547,807,1090,1586,2194,3742,4643,mid
7,121,339,850,1097,1477,2349,3397,4597,mid
17,96,380,896,1116,1594,1927,3333,4451,mid
8,170,426,864,1087,1487,2083,3378,4629,mid
17,138,440,813,1116,1503,2195,3224,4417,mid
43,127,384,892,1112,1534,2293,3657,4678,mid
36,186,525,818,1091,1467,2213,3335,4680,mid
32,95,349,851,1117,1475,2153,3703,4415,mid
11,121,524,862,1088,1469,1929,3339,4480,mid
19,135,349,862,1125,1567,2394,3466,4451,mid
11,92,507,814,1104,1538,1958,3417,4586,mid
28,144,361,857,1091,1487,2236,3379,4613,mid
21,157,339,787,1120,1479,2106,3341,4575,mid
31,82,341,882,1119,1568,1948,3774,4471,mid
41,136,537,880,1100,1509,2165,3649,4416,mid
17,96,415,809,1120,1479,2054,3695,4660,mid
26,175,545,855,1105,1502,1967,3318,4598,mid
29,97,454,876,1091,1515,2347,3581,4681,mid
41,162,421,796,1101,1519,2041,3600,4533,mid
32,106,409,872,1126,1483,2204,3280,4697,mid
22,131,528,897,1084,1458,2247,3698,4671,mid
13,127,489,848,1128,1586,1952,3240,4400,mid
33,174,361,857,1093,1497,2121,3443,4531,mid
47,99,339,815,1107,1483,2274,3545,4699,mid
22,80,368,823,1109,1558,2033,3286,4599,mid
21,196,480,787,1081,1501,2009,3648,4689,mid
15,163,392,852,1125,1466,2205,3468,4662,mid
12,159,400,843,1085,1527,2188,3544,4613,mid
25,241,582,879,1100,1653,2688,3593,4680,high
12,191,673,855,1109,1664,2463,3580,4963,high
45,213,493,911,1135,1602,2210,3940,4870,high
41,235,592,917,1171,1610,2333,3606,4703,high
19,219,550,862,1108,1586,2718,3902,4837,high
10,215,598,875,1171,1671,2571,3742,4733,high
37,222,623,902,1170,1574,2414,3623,4634,high
23,263,656,910,1140,1569,2292,3776,4627,high
18,233,538,915,1143,1552,2829,3598,4735,high
24,188,635,898,1147,1586,2891,3543,4688,high
16,207,481,858,1115,1595,2725,3640,4784,high
37,252,662,870,1129,1640,2726,3860,4898,high
40,237,613,890,1116,1576,2839,3615,4916,high
42,238,590,924,1170,1630,2822,3557,4959,high
32,241,576,850,1103,1596,2385,3910,4607,high
38,202,638,902,1145,1672,2643,3972,4611,high
27,268,611,865,1174,1670,2272,3583,4791,high
20,215,500,857,1152,1662,2802,3838,4836,high
9,211,571,869,1117,1568,2754,3699,4968,high
28,249,489,890,1110,1579,2483,3525,4916,high
41,258,634,882,1141,1640,2759,3901,4796,high
20,207,665,867,1106,1603,2367,3678,4892,high
14,235,638,860,1122,1641,2504,3960,4895,high
39,192,636,854,1119,1552,2846,3776,4953,high
24,209,624,916,1111,1618,2737,3593,4930,high
20,226,597,851,1160,1646,2534,3657,4684,high
29,266,508,851,1123,1667,2404,3548,4658,high
45,271,501,857,1170,1552,2226,3564,4828,high
43,266,623,874,1153,1667,2873,3883,4657,high
9,200,552,867,1119,1623,2356,3854,4843,high
18,86,367,793,1067,1321,1961,3193,4290,low
16,78,385,768,1074,1359,1946,3277,4360,low
31,68,352,784,1007,1457,1984,3236,4108,low
39,61,364,755,1011,1316,1895,3262,4303,low
33,57,382,781,1099,1315,1998,3230,4308,low
25,85,368,750,1070,1367,1802,3107,4227,low
32,84,355,776,1016,1320,1820,3260,4100,low
25,60,369,770,1054,1381,1851,3263,4139,low
26,55,385,772,1060,1346,1847,3241,4293,low
45,60,389,786,1000,1307,1828,3113,4113,low
12,50,386,773,1004,1334,1885,3144,4129,low
29,70,361,763,1016,1443,1820,3146,4475,low
26,86,350,781,1000,1422,1998,3119,4204,low
14,98,363,787,1097,1409,1822,3160,4283,low
44,52,365,787,1023,1429,1937,3146,4424,low
18,100,378,771,1079,1448,1878,3119,4235,low
44,97,388,773,1094,1478,1916,3102,4304,low
43,64,379,755,1084,1476,1816,3257,4472,low
10,54,354,765,1018,1382,1957,3254,4222,low
23,53,373,788,1027,1422,1968,3208,4218,low
18,88,396,774,1030,1360,1873,3284,4247,low
32,50,377,758,1099,1321,1883,3109,4431,low
25,55,373,758,1031,1381,1974,3230,4155,low
37,50,399,786,1018,1344,1828,3105,4431,low
28,84,369,779,1084,1488,1839,3192,4375,low
24,73,358,755,1025,1464,1900,3202,4412,low
25,52,387,793,1023,1360,1922,3171,4141,low
11,96,387,758,1060,1389,1989,3268,4294,low
35,55,355,753,1067,1358,1950,3109,4219,low
8,74,368,765,1030,1344,1844,3191,4453,low
7,181,351,888,1123,1579,2318,3667,4436,mid
11,83,348,876,1092,1455,2206,3586,4450,mid
29,140,408,780,1129,1597,2265,3476,4554,mid
39,152,534,800,1083,1555,2190,3409,4659,mid
39,142,484,832,1094,1457,2177,3454,4556,mid
12,197,394,787,1116,1498,2327,3262,4632,mid
34,110,489,878,1093,1586,2070,3298,4437,mid
13,114,471,837,1100,1499,2346,3433,4420,mid
15,161,406,888,1119,1570,1940,3205,4405,mid
41,187,368,857,1084,1493,1987,3595,4585,mid
38,84,385,893,1100,1593,2196,3299,4608,mid
38,141,535,860,1120,1452,2047,3280,4594,mid
7,152,336,860,1124,1472,2255,3465,4433,mid
11,141,546,782,1100,1534,2268,3596,4447,mid
24,192,428,900,1124,1527,2067,3581,4644,mid
23,81,334,883,1091,1495,2115,3733,4651,mid
14,192,511,860,1093,1529,2136,3563,4594,mid
43,169,412,799,1094,1464,2209,3455,4522,mid
20,187,366,873,1129,1535,2395,3362,4563,mid
41,174,373,883,1127,1600,1923,3322,4449,mid
17,165,550,813,1091,1501,2378,3401,4687,mid
18,137,398,797,1129,1591,2397,3270,4576,mid
27,134,386,782,1121,1597,2389,3591,4527,mid
39,186,464,805,1096,1561,1934,3602,4424,mid
47,144,373,858,1112,1488,1923,3221,4450,mid
39,107,430,837,1127,1505,1997,3618,4645,mid
8,125,381,809,1120,1493,2384,3345,4521,mid
19,110,339,801,1097,1472,2145,3715,4688,mid
34,146,394,866,1103,1479,2243,3604,4574,mid
17,146,356,859,1114,1590,2380,3599,4445,mid
42,234,556,854,1147,1640,2712,3576,4676,high
20,239,554,909,1172,1656,2739,3647,4808,high
25,275,608,863,1140,1563,2763,3594,4847,high
17,209,645,868,1163,1645,2317,3872,4750,high
17,180,557,893,1134,1674,2561,3723,4778,high
42,242,521,907,1173,1652,2523,3600,4609,high
32,208,657,866,1128,1634,2564,3697,4861,high
33,186,654,905,1131,1573,2322,3500,4659,high
10,236,643,906,1126,1607,2753,3855,4651,high
13,219,546,865,1157,1667,2866,3924,4729,high
25,209,590,878,1100,1612,2294,3913,4627,high
39,266,484,850,1149,1617,2375,3512,4712,high
34,184,655,886,1136,1605,2309,3764,4697,high
31,269,655,921,1141,1571,2429,3875,4900,high
13,240,583,866,1123,1552,2475,3849,4760,high
20,273,572,905,1175,1644,2269,3823,4958,high
7,193,519,872,1168,1598,2640,3811,4958,high
36,215,541,855,1151,1625,2476,3569,4767,high
32,211,518,904,1102,1611,2937,3680,4727,high
14,245,586,855,1114,1566,2290,3687,4958,high
25,191,580,862,1135,1625,2476,3538,4924,high
39,247,638,912,1131,1648,2315,3737,4676,high
35,259,636,884,1153,1572,2827,3543,4898,high
23,224,533,894,1103,1594,2617,3853,4905,high
14,269,541,915,1172,1560,2415,3644,4772,high
27,211,620,856,1143,1654,2623,3773,4860,high
30,223,647,859,1142,1619,2630,3911,4937,high
9,203,501,897,1110,1602,2254,3767,4829,high
16,198,618,888,1112,1647,2324,3886,4753,high
22,267,548,910,1105,1591,2562,3698,4848,high
16,69,398,768,1064,1313,1929,3270,4431,low
21,65,399,763,1074,1459,1945,3173,4169,low
21,71,376,774,1058,1309,1873,3142,4315,low
37,91,396,756,1026,1440,1810,3125,4398,low
35,77,393,776,1058,1393,1987,3266,4420,low
27,66,399,786,1045,1432,1811,3176,4417,low
47,60,376,765,1057,1466,1838,3121,4306,low
7,92,400,781,1061,1455,1885,3111,4304,low
8,62,366,791,1052,1326,1835,3162,4307,low
35,53,384,759,1055,1444,1973,3165,4152,low
20,58,368,761,1017,1405,1988,3251,4335,low
13,63,350,773,1006,1305,1983,3154,4180,low
33,90,387,789,1052,1346,1835,3222,4440,low
38,84,381,768,1082,1364,1888,3121,4317,low
7,62,391,758,1054,1375,1845,3187,4154,low
44,68,380,766,1077,1326,1894,3131,4431,low
30,50,383,754,1050,1393,1800,3128,4363,low
31,50,383,751,1093,1482,1986,3108,4130,low
14,97,363,771,1067,1487,1988,3257,4362,low
27,54,365,788,1008,1314,1809,3244,4341,low
12,84,392,757,1084,1424,1946,3174,4235,low
30,60,395,779,1098,1422,1949,3138,4255,low
16,98,383,761,1092,1452,1981,3248,4282,low
23,65,399,755,1025,1464,1870,3281,4479,low
32,69,351,766,1037,1353,1983,3287,4152,low
47,91,364,800,1040,1381,1953,3158,4402,low
35,58,375,760,1013,1352,1962,3218,4334,low
14,81,372,767,1094,1485,1910,3208,4297,low
21,71,364,758,1089,1368,1829,3283,4301,low
8,71,382,761,1026,1307,1985,3145,4337,low
47,127,406,900,1099,1524,2119,3282,4440,mid
37,156,495,899,1097,1515,1993,3803,4469,mid
19,136,466,892,1097,1512,1995,3288,4529,mid
22,197,438,846,1117,1461,2309,3428,4471,mid
47,155,350,896,1115,1541,2047,3648,4591,mid
44,168,342,823,1086,1561,1971,3587,4633,mid
9,186,538,797,1124,1495,2132,3396,4584,mid
44,125,483,803,1103,1493,2062,3668,4686,mid
28,102,469,826,1088,1561,1915,3254,4527,mid
45,98,490,879,1127,1582,2259,3692,4563,mid
31,103,372,821,1128,1485,2194,3483,4643,mid
34,169,391,826,1089,1568,2146,3755,4475,mid
47,171,343,848,1122,1533,1972,3393,4517,mid
47,97,446,888,1119,1591,2334,3608,4564,mid
14,188,425,820,1127,1520,2380,3666,4467,mid
34,192,454,818,1119,1498,2168,3765,4545,mid
28,140,362,786,1081,1452,2008,3566,4528,mid
45,137,476,878,1105,1498,2158,3575,4533,mid
44,156,360,785,1108,1564,2275,3459,4673,mid
7,127,493,839,1095,1506,2098,3309,4680,mid
23,87,404,884,1090,1519,2339,3700,4478,mid
44,93,469,821,1105,1531,2148,3677,4426,mid
41,151,545,823,1111,1556,2333,3683,4447,mid
29,133,396,842,1099,1468,2086,3460,4625,mid
27,94,393,848,1087,1594,1987,3455,4504,mid
11,143,338,796,1129,1528,2282,3788,4456,mid
26,191,532,886,1113,1489,2353,3557,4615,mid
42,183,506,862,1093,1453,2103,3587,4406,mid
29,132,444,896,1084,1588,2001,3570,4430,mid
23,135,353,861,1101,1519,2225,3349,4612,mid
44,192,650,897,1167,1588,2215,3683,4969,high
30,209,621,886,1137,1614,2630,3786,4790,high
35,181,494,878,1139,1597,2872,3752,4783,high
41,260,535,869,1105,1613,2624,3651,4842,high
38,231,519,879,1114,1626,2533,3677,4921,high
44,181,494,893,1112,1645,2955,3928,4853,high
44,191,558,860,1107,1652,2520,3689,4757,high
13,270,667,886,1166,1614,2758,3649,4724,high
12,221,631,872,1153,1634,2449,3631,4679,high
44,274,516,907,1149,1590,2801,3508,4873,high
15,268,520,854,1140,1565,2777,3830,4608,high
27,215,542,902,1108,1670,2902,3830,4951,high
32,227,615,919,1153,1659,2787,3852,4679,high
16,217,527,908,1128,1583,2289,3571,4886,high
39,201,651,903,1130,1610,2229,3523,4826,high
32,263,505,852,1175,1586,2799,3934,4805,high
16,270,579,863,1173,1570,2657,3559,4906,high
37,203,637,906,1165,1621,2952,3548,4642,high
15,221,636,857,1130,1644,2246,3894,4836,high
13,264,515,893,1114,1622,2344,3561,4666,high
40,183,524,908,1115,1609,2553,3591,4758,high
38,240,644,916,1145,1559,2251,3697,4632,high
16,216,593,921,1154,1565,2681,3664,4797,high
31,252,643,854,1126,1614,2478,3872,4690,high
24,218,599,860,1162,1635,2442,3596,4683,high
32,269,486,850,1173,1596,2222,3912,4919,high
43,271,519,862,1125,1639,2238,3816,4616,high
34,225,522,901,1158,1633,2277,3710,4844,high
21,207,481,902,1131,1603,2443,3709,4608,high
16,246,627,884,1147,1599,2268,3792,4836,high
34,79,361,763,1020,1384,1974,3144,4144,low
35,89,396,779,1027,1352,1899,3219,4409,low
39,92,355,784,1048,1460,1957,3226,4270,low
35,60,353,790,1089,1428,1987,3171,4416,low
23,61,383,783,1013,1432,1858,3103,4405,low
27,77,397,775,1038,1361,1844,3143,4129,low
28,71,392,781,1082,1329,1887,3241,4305,low
43,100,367,787,1053,1342,1875,3118,4376,low
